P0,
Index [1],dR [mm]
1381,-8.56185
1382,-8.60117
1383,-8.55915
1384,-8.51615
1385,-8.53097
1386,-8.51414
1387,-8.49507
1388,-8.48985
1389,-8.47084
1390,-8.43986
1391,-8.51768
1392,-8.49983
1393,-8.38393
1394,-8.39772
1395,-8.45002
1396,-8.45101
1397,-8.48554
1398,-8.4374
1399,-8.50875
1400,-8.48029
1401,-8.46569
1402,-8.4806
1403,-8.49747
1404,-8.49116
1405,-8.52803
1406,-8.49195
1407,-8.54285
1408,-8.52155
1409,-8.5361
1410,-8.53576
1411,-8.51434
1412,-8.55666
1413,-8.55454
1414,-8.56116
1415,-8.57301
1416,-8.54954
1417,-8.5673
1418,-8.5406
1419,-8.56095
1420,-8.58382
1421,-8.5329
1422,-8.53431
1423,-8.59148
1424,-8.63471
1425,-8.65383
1426,-8.61097
1427,-8.61758
1428,-8.6652
1429,-8.63266
1430,-8.66243
1431,-8.68618
1432,-8.79505
1433,-8.70931
1434,-8.72331
1435,-8.72482
1436,-8.78132
1437,-8.76175
1438,-8.80259
1439,-8.85143
1440,-8.79078
1441,-8.81307
1442,-8.8774
1443,-8.85208
1444,-8.88825
1445,-8.92538
1446,-8.93897
1447,-8.85509
1448,-8.99714
1449,-8.91076
1450,-8.96631
1451,-8.99304
1452,-8.96731
1453,-8.95714
1454,-8.96539
1455,-8.98024
1456,-9.03182
1457,-8.97712
1458,-9.02936
1459,-9.06059
1460,-8.99005
1461,-9.02327
1462,-9.05809
1463,-9.07523
1464,-9.03017
1465,-9.08733
1466,-9.11748
1467,-9.07121
1468,-9.09359
1469,-9.15038
1470,-9.05962
1471,-9.09222
1472,-9.17998
1473,-9.18429
1474,-9.12389
1475,-9.15827
1476,-9.1993
1477,-9.15498
1478,-9.19226
1479,-9.2209
1480,-9.24095
1481,-9.22661
1482,-9.16333
1483,-9.18134
1484,-9.22888
1485,-9.22033
1486,-9.25433
1487,-9.23168
1488,-9.15704
1489,-9.16949
1490,-9.18931
1491,-9.15529
1492,-9.14425
1493,-9.19085
1494,-9.16998
1495,-9.15194
1496,-9.05925
1497,-9.10939
1498,-9.07732
1499,-9.06383
1500,-9.08017
