AstroVIEW X
Type, Original
Time, 01/01/2002 12:28:49 AM
Compression, 1
Pre Sample Rate, 2000000
Post Sample Rate, 2000000
Size, 6015
Trigger, 3000001
Recorder Type, DASH 8HF
Amp Type, Isolated, Isolated, Isolated, Isolated
Units, Volts , Volts , Volts , Volts 
 SAMPLE,1:Waveform 1, 1:Waveform 2, 1:Waveform 3, 1:Waveform 4
2535381 ,-0.01815           ,-0.01350           ,-0.02065           ,-0.01858           
2535382 ,-0.01310           ,-0.01290           ,-0.01617           ,-0.01698           
2535383 ,-0.00880           ,-0.01327           ,-0.00965           ,-0.01655           
2535384 ,-0.01780           ,-0.01870           ,-0.01393           ,-0.02072           
2535385 ,-0.02298           ,-0.01685           ,-0.01405           ,-0.01958           
2535386 ,-0.01450           ,-0.00850           ,-0.00838           ,-0.01408           
2535387 ,-0.01227           ,-0.00807           ,-0.01140           ,-0.01367           
2535388 ,-0.01690           ,-0.01098           ,-0.01960           ,-0.01822           
2535389 ,-0.01362           ,-0.01165           ,-0.01637           ,-0.01782           
2535390 ,-0.00857           ,-0.01177           ,-0.01012           ,-0.01732           
2535391 ,-0.01530           ,-0.01658           ,-0.01340           ,-0.01998           
2535392 ,-0.02168           ,-0.01525           ,-0.01382           ,-0.01965           
2535393 ,-0.01640           ,-0.00822           ,-0.00893           ,-0.01503           
2535394 ,-0.01365           ,-0.00720           ,-0.01115           ,-0.01455           
2535395 ,-0.01648           ,-0.00945           ,-0.01877           ,-0.01787           
2535396 ,-0.01422           ,-0.01067           ,-0.01617           ,-0.01758           
2535397 ,-0.00980           ,-0.01205           ,-0.01040           ,-0.01808           
2535398 ,-0.01488           ,-0.01658           ,-0.01245           ,-0.02035           
2535399 ,-0.02015           ,-0.01515           ,-0.01267           ,-0.01948           
2535400 ,-0.01777           ,-0.00967           ,-0.00883           ,-0.01563           
2535401 ,-0.01548           ,-0.00890           ,-0.01143           ,-0.01535           
2535402 ,-0.01645           ,-0.00982           ,-0.01795           ,-0.01765           
